data/namaPerusahaan,data/alamatPerusahaan
PR PETRUS WANGGE,"KOTABARU, Desa/Kelurahan Kotabaru, Kec. Kota Baru, Kab. Ende, Kotabaru, Kota Baru, Kabupaten Ende, Nusa Tenggara Timur"
PT Sedata Jaya Mas,"JALAN MARTINUS LUBIS, Rantauprapat, Rantau Utara, Kabupaten Labuhanbatu, Sumatera Utara"
PT Seribu Lokal Indonesia,
PT Skl Logam Primamandiri,"Jl. Brigjen Katamso No. 17, Tanjung Uncang, Batu Aji, Kota Batam, Kepulauan Riau"
PR SLAMET BASUKI,"Kemiri Sewu RT 001RW 003, Cacaban Lor, Bener, Kabupaten Purworejo, Jawa Tengah"
PT Spo Agro Resources,"Jl. Pue Kodi Blok Pantai, Kayumalue Pajeko, Palu Utara, Kota Palu, Sulawesi Tengah"
CV Subagiyo Plastindo,"CINDEREJO LOR RT. 001 RW. 004, Gilingan, Banjarsari, Kota Surakarta, Jawa Tengah"
PT Sumber Wijaya Sakti,"Trayem Bendo, Sirahan, Salam, Kabupaten Magelang, Jawa Tengah"
PT Tandoox Global Indonesia,"Komplek Pergudangan DPR Blok B Nomor 343, Nerogtog, Pinang, Kota Tangerang, Banten"
PT Tirta Cipta Nugroho,"Jl. Gunung Kelir Kawasan Industri Wijayakusuma, Karanganyar, Tugu, Kota Semarang, Jawa Tengah"
PT Varia Usaha Beton,"Dusun Jatikunci Desa Sumbersuko, Sumbersuko, Gempol, Kabupaten Pasuruan, Jawa Timur"
PR Wadzik Jaya,"Komplek LIK - IHT Gedung K, Megawon, Jati, Kabupaten Kudus, Jawa Tengah"
PT Wana Cahaya Nugraha,"Jl Raya Klakah RT.002 RW.010, Mlawang, Klakah, Kabupaten Lumajang, Jawa Timur"
PT Warisan Eurindo,"Jl. Raya Padang Luwih No. 198, Br. Tegal Jaya RT/RW 000/000, Dalung, Kuta Utara, Kabupaten Badung, Bali"
PT Waskita Adji,"Jl. Sekar Jagad No.D5, Dusun I, Makamhaji, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57161, Makamhaji, Kartasura, Kabupaten Sukoharjo, Jawa Tengah"
PT XINGYUN INDONESIA,
UD Yanti Ulos,"kelurahan baringin, Baringin, Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara"
PR Zaki Waladi,"Desa Pengabean RT 05 RW 01 Kec. Dukuhturi Kab. Tegal, Pengabean, Dukuhturi, Kabupaten Tegal, Jawa Tengah"
PR ZAMZAMI,"DSN. BICABBIH, Samaran, Tambelangan, Kabupaten Sampang, Jawa Timur"
BUT (BUT) PETROGAS (BASIN) LTD,
PT (perorangan) Darwin Dinata / Ud. Berjaya Utama,
(perorangan) Djoni Tjandra / Tjandra Plastik,
BHL 0603230027268,
PR 2 Putri Ibu Susi,"Simpang Tigo Aur Malintang, III Koto Aur Malintang Selatan, IV Koto Aur Malintang, Kabupaten Padang Pariaman, Sumatera Barat"
CV 2 Saudara,"Jln. Cisadane no. 19, RT. 003, RW. 003, Alai Parak Kopi, Padang Utara, Kota Padang, Sumatera Barat"
PR 2.f Cakery,"Jl. Pemuda Bukit Batakan Permai Blok C9 No. 13, Manggar, Balikpapan Timur, Kota Balikpapan, Kalimantan Timur"
PR 23,"Desa Welahan RT. 002/002, Welahan, Welahan, Kabupaten Jepara, Jawa Tengah"
PR 28 Digital Print,"jl amir mahmud no 795, padasuka, cimahi tengah, Kota Cimahi, Jawa Barat"
PR 2r Handycrat,"Jalan P.Singkep gg AMD Sukabumi Bandar Lampung, Sukabumi, Sukabumi, Kota Bandar Lampung, Lampung"
CV 3 Mutiara Company,"JLN. 20 DESEMBER NO 40, PEGADUNGAN, KALIDERES, Kota Jakarta Barat, DKI Jakarta"
PR 3 Srikandi,
PT 360 Bali Multimedia,
PT 3a Precise Scale,"Jl.Veteran RT05/RW04, Kebon Kelapa, Pasar Kemis, Kabupaten Tangerang, Banten"
PT 3d Tech,
PT 3di Garmentech,"Jl. HH No. 68 Rt 008 Rw 001, Kebon Jeruk, Kebon Jeruk, Kota Jakarta Barat, DKI Jakarta"
PR 3kyla Kitchen,"Jl.Am Sangaji, Kelurahan Baru, No.13, RT. 9, Kecamatan Tengggarong, Kampung Baru, Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur"
PT 3M INDONESIA,"3M Indonesia, Karawang Plant | JL Maligi VIII LOT R2, KIIC 41361 | Indonesia, Margakaya, Telukjambe, Kabupaten Karawang, Jawa Barat"
PR 3n Craft,
PR 3r Cake Cookies,"Jl. Bayam Gg Sunar Lk. III, Paya Roba, Binjai Barat, Kota Binjai, Sumatera Utara"
PR 3rde,"Jl. Jonggrang No.34-B, Patihan, Manguharjo, Kota Madiun, Jawa Timur"
CV 3s Indonesia,"Jalan Kebon Cau No. 10, Kosambi, Sukadiri, Kabupaten Tangerang, Banten"
PT 3S INTERNATIONAL,"JL KAPUK KENCANA NO 8A-B, Kapuk Muara, Penjaringan, Kota Jakarta Utara, DKI Jakarta"
PR 4 Nur,
CV 44 Dewi Sri,"Bandungrejo, Bandungrejo, Ngasem, Kabupaten Bojonegoro, Jawa Timur"
PT 4net Prima Solusi,
PR 5 Saudara,"KAMPUANG TANGAH BALAI BAIK, Balai Baiak Malai III Koto, IV Koto Aur Malintang, Kabupaten Padang Pariaman, Sumatera Barat"
BUT 5v,"Jl. Empu Gandring No 51, Kedundung, Magersari, Kota Mojokerto, Jawa Timur"
PR 7 Loeng,"Brang Wetan RT 03 RW 03, Kalipucang Wetan, Welahan, Kabupaten Jepara, Jawa Tengah"
PR 7 Saudara,
PR 7cake&cookies,"Jl nusa indah no 14 rt 3 rw 13, Jayaraga, Tarogong Kidul, Kabupaten Garut, Jawa Barat"
PT 84.607.176.9-003.000,
CV 88,
PR 99,"Jl. Maleer V no. 294 A / 118, Maleer, Batununggal, Kota Bandung, Jawa Barat"
PR 999 Galonindo,
A & A,
PT A & P Industry Indonesia,"Jl. Jababeka VI Blok J No.5A, Kawasan Industri Jababeka Phase I, Harjamekar, Cikarang Utara, Kabupaten Bekasi, Jawa Barat"
PR A A Gd Oka Yasa,"DUSUN PENINJOAN DESA PAKSEBALI, Desa/Kelurahan Paksebali, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Paksebali, Dawan, Kabupaten Klungkung, Bali"
PT A And One Precision Engineering Indonesia,"Jln.Asoka Lot SD 62-63 Bintan Inti Estate Lobam, Teluk Lobam, Seri Kuala Lobam, Kabupaten Bintan, Kepulauan Riau"
PR A Andry Isdar Alfiansyah,"Jl. Poros Kariango Perumahan Rachita Garden 1 F4 No.10, Kurusumange, Tanralili, Kabupaten Maros, Sulawesi Selatan"
PR A Anishar Sultan,
PR A Emelia,"BTN Wesabbe II Blok B No 25, Bonto Matene, Mandai, Kabupaten Maros, Sulawesi Selatan"
PR A Husmaentin,"Jl. Sungai Limboto BTN Griya Amanda 2 Blok B No. 26, Ta, Tanete Riattang, Kabupaten Bone, Sulawesi Selatan"
PT A Ju Asiatex,"jl raya bandung garut km 28, panenjoan, cicalengka, Kabupaten Bandung, Jawa Barat"
PR A Paryanti,
PR A QODHIRI HUZAINI,"Desa Bicorong, Bicorong, Pakong, Kabupaten Pamekasan, Jawa Timur"
PR A Rachmila Maulana Kasmat,
PR A Rianto,
PR A Rizal Kurniawan,"JL. SUNGAI MARUNI KM.10 RT.001 RW.001, Sawagumu, Sorong Utara, Kota Sorong, Papua Barat Daya"
PR A Sisca Dewi,"LINGK. III SUMBER REJEKI, Penanggo Jaya, Lambandia, Kabupaten Kolaka Timur, Sulawesi Tenggara"
PR A Tenri Nur Fatimah,"Jl. Garuda Maccopa, Taroada, Turikale, Kabupaten Maros, Sulawesi Selatan"
PERUM A Tjuan,"JL. Industri raya 2 blok E2, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten"
PR A&d Handmade Lamp,"Jalan Jagaraga No. 16, Celuk, Sukawati, Kabupaten Gianyar, Bali"
PT A&t Engineering,
PR A'finii Rachman,"Jalan Manala No. 90, RT. 001/002, Cijantung, Pasar Rebo, Kota Jakarta Timur, DKI Jakarta"
PR A-7,"KP. MUNJUL RT.016 RW.09, Munjuljaya, Purwakarta, Kabupaten Purwakarta, Jawa Barat"
PR A-maritza Nusantara,
PR A-qis Mandiri,
PR A. A. Istri Dwi Candra Ningrum,"LING/BR.BRAHMANA BUKIT, Cempaga, Bangli, Kabupaten Bangli, Bali"
PR A. Ade Husnanda,"JALAN PASAR BARU, Tanjung Uban Selatan, Bintan Utara, Kabupaten Bintan, Kepulauan Riau"
PR A. Catur Christian Meddyanto,"Bareng Lor, Barenglor, Klaten Utara, Kabupaten Klaten, Jawa Tengah"
PR A. Deni Kurniawan,"Dusun Balang Bo'dong, Harapan, Bontosikuyu, Kabupaten Kepulauan Selayar, Sulawesi Selatan"
PR A. Ernawati,
PR A. Haliati,"PERUM PGRI BLOK. R NO. 02, Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur, Gunungbahagia, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur"
PR A. Indah Hayati,"Jl. Veteran, Bajoe, Tanete Riattang Timur, Kabupaten Bone, Sulawesi Selatan"
PR A. Kadir,"Dusun II Kelurahan Ulak Teberau, Ulak Teberau, Lawang Wetan, Kabupaten Musi Banyuasin, Sumatera Selatan"
PR A. Muzkirah,"Dusun Bongki, Bongki Lengkese, Sinjai Timur, Kabupaten Sinjai, Sulawesi Selatan"
PR A. Nilawati Galib,"BTN CAHAYA TIGA BERLIAN BLOK J5 NO. 7, Bentengnge, Watang Sawito, Kabupaten Pinrang, Sulawesi Selatan"
PR A. PAMADENG LETTE,"Jl. RA. Kartini, Puncak Indah, Malili, Kabupaten Luwu Timur, Sulawesi Selatan"
PR A. Rahmat Jaya,"Dusun Naga, Ketawang Karay, Ganding, Kabupaten Sumenep, Jawa Timur"
PR A. Rezky Ananda Putri,"LABALAKANG, Amassangeng, Lansirang, Kabupaten Pinrang, Sulawesi Selatan"
PR A. Rina Jaya Iskandar,"JL. ABD. SYAKUR, Karema, Mamuju, Kabupaten Mamuju, Sulawesi Barat"
CV A. Rosita,"Jl.Trans Bone Pantai, Huangobotu, Kabila Bone, Kabupaten Bone Bolango, Gorontalo"
PR A. Sitti Nurlaelah,"Jl. Haluoleo Lrg. Perum. Green Anduonohu, Andonohu, Poasia, Kota Kendari, Sulawesi Tenggara"
PR A. Sodikin,"Jolontoro Rt 008 Rw 001, Jolontoro, Sapuran, Kabupaten Wonosobo, Jawa Tengah"
PR A. Solikhul Anwar,"LINGKUNGAN GLONDONG, Desa/Kelurahan Satreyan, Kec. Kanigoro, Kab. Blitar, Provinsi Jawa Timur, Satreyan, Kanigoro, Kabupaten Blitar, Jawa Timur"
PR A. Sri Anggeraeny. M,"Jalan Jenderal Sudirman, Biringere, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan"
PR A. Sulaiman H A Loeloe,"Bukit Hartaco Indah Blok 1A No. 29, Sudiang Raya, Biringkanaya, Kota Makassar, Sulawesi Selatan"
PR A. Tenriola Rakhmaningsih,"Jalan Basuki Rahmat, Biringere, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan"
PR A.Aspur,"Perum Mutira Selatan NO. F 08, Kenali Asam Bawah, Kota Baru, Kota Jambi, Jambi"
PR A.d Geno Alvio,"MUKAI MUDIK, Mukai Mudik, Siulak Mukai, Kabupaten Kerinci, Jambi"
PR A.h Mintardja,"Jl Ha Salim No 128 Kota Madiun, Nambangan Lor, Manguharjo, Kota Madiun, Jawa Timur"
PR A.kushartiyastuti,"Jl.KH.M.Naim III/28 RT 007 RW 009 Cipete Utara, Kebayoran Baru, Jakarta Selatan 12150, Cipete Utara, Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta"
PR A.lazim,"Lingkungan IV, Indralaya Mulia, Indralaya, Kabupaten Ogan Ilir, Sumatera Selatan"
PR A.r. Widiyanto,"PERUMAHAN KAYAN RESIDENCE, Tanjung Selor Timur, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara"
PR A.risky Nurfadhillah,"Jalan Veteran, Watampone, Tanete Riattang, Kabupaten Bone, Sulawesi Selatan"
PR A.rosmiati,"Jl.Perumahan paser alam permai blok A/4 RT.002, Penajam, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur"
PR A.st.husna,"Jl. H. A. Tanjong No 36, Maddukelleng, Tempe, Kabupaten Wajo, Sulawesi Selatan"
PR A.subaeri,"Jl. Rutan, Lingk. I, Lekessi, Maritengngae, Kabupaten Sidenreng Rappang, Sulawesi Selatan"
PR A.Syalman Al Farisy,"Desa Bancelok, Bancelok, Jrengik, Kabupaten Sampang, Jawa Timur"
PR A.tenri,"Gattareng, Gattareng Toa, Marioriwawo, Kabupaten Soppeng, Sulawesi Selatan"
PT A.W.FABER-CASTELL INDONESIA,"JL. RAYA NAROGONG PANGKALAN 1B, BANTAR GEBANG BEKASI 17151, Bantargebang, Bantargebang, Kota Bekasi, Jawa Barat"
A2,
PR A3 Alumunium,
PR Aa Cookies,
CV AA Dinamic Grup,"KP CISEUREUH RT006 RW002, Cibodas, Bungursari, Kabupaten Purwakarta, Jawa Barat"
PR Aa Food,"Jl Saringan E31 komplek PUSMET RT 01 RW 02, Sungai Baru, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung"
PR Aa Fresh (depo Air Siap Minum),
PR Aa Hfn,"jl. air itam kp. samak sampur no.41, RT.03/RW.01, Sinar Bulan, Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung"
CV Aa Santa Internasional Tailor,"Jl. KH. A Dahlan, Sukajadi, Sukajadi, Kota Pekanbaru, Riau"
CV Aa Sejahtera Bersama,
PR Aa Sugiri,"DESA KALBANG, Desa/Kelurahan Kalbang, Kec. Lais, Kab. Bengkulu Utara, Provinsi Bengkulu, Kalbang, Lais, Kabupaten Bengkulu Utara, Bengkulu"
PR Aa Tech,
PT Aaa Design Studio,
PR Aad Purwanto Al Suhad,"Tumanggal RT 14 RW 05, Tumanggal, Pengadegan, Kabupaten Purbalingga, Jawa Tengah"
PT Aae Outdoor Indonesia,"Gedung Panorama Jl. Raya Bangsri, Bangsri, Bulakamba, Kabupaten Brebes, Jawa Tengah"
PR Aaf Falahudin,"Blok II RT 001 RW 006, Leuwikidang, Kasokandel, Kabupaten Majalengka, Jawa Barat"
PT Aagney Cocoa Persada,"Jl. Raya Kaba-kaba, Banjar Carik Padang, Nyambu, Kediri, Kabupaten Tabanan, Bali"
PR Aah Sariah,"Blok Pajagan RT 001 RW 001, Sinarjati, Dawuan, Kabupaten Majalengka, Jawa Barat"
PR Aak Yang,"Kampung teluk Rubiah RT 002 Rw 006, Tanjung, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung"
PR Aal Laila,"Pangukan, No 41, RT 01 / RW 09, Tridadi, Sleman, Kabupaten Sleman, DI Yogyakarta"
PT Aalborg Industri Indonesia,"Jl. Rawa Sumur II Blok III Kav. CC 6-7, Jatinegara, Cakung, Kota Jakarta Timur, DKI Jakarta"
PT Aalen Chemicals Indonesia,"Kawasan Industri Pulogadung, Jl. Pulo Buaran III Blok G3, Jatinegara, Cakung, Kota Jakarta Timur, DKI Jakarta"
PR Aam Amaliyah,"JL. MELATI I NO.54 RT.08 RW.07 Kelurahan: Ragunan Kecamatan: Pasar Minggu Kab/Kota: Kota Adm. Jakarta Selatan, Ragunan, Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta"
PR Aam Amilah,
PR Aam Amrullah,"Perum griya banyuresmi indah blok c no2, Cipicung, Banyuresmi, Kabupaten Garut, Jawa Barat"
PT Aam Prima Artha,"Jl Ayip Usman, Unyur, Serang, Kota Serang, Banten"
PR Aam Ratna Suminar,
PR Aam Siti Nur Alimah,
PT Aamin Adrian Medical Indo,"Jln. Kompayer Kp. Rawa Bogo RT 01 RW 06 Desa Pasir Mukt Kecamatan Citeureup Kabupaten Bogor, Pasirmukti, Citeureup, Kabupaten Bogor, Jawa Barat"
PR Aan Asmaul Husna,
PR Aan Fadilah,
PR Aan Restu Aristiawan,"JL. H. AGUSSALIM, Ujung Bulu, Ujung, Kota Pare-Pare, Sulawesi Selatan"
PR Aan Rohanah,
PR Aan Saeful Alam,"Dusun Aryakiban, Rajagaluh Kidul, Rajagaluh, Kabupaten Majalengka, Jawa Barat"
PR Aan Sri Ramayani,
PR Aan Sumantri,"Perumnas tulung mili desa kotabumi ilir kec. kotabumi. Kab lampung Utara prov. Lampung, Kotabumi Ilir, Kotabumi, Kabupaten Lampung Utara, Lampung"
PR Aan Suryana,"Jl. Taifur Yusuf No. 1218 RT. 001 RW. 012 Gg. Pulo, Bojongherang, Cianjur, Kabupaten Cianjur, Jawa Barat"
PR Aan Teknik,"Jorong Bamban, IV Koto Palembayan, Palembayan, Kabupaten Agam, Sumatera Barat"
PR Aan Yuniarsih,"JL.ROROTAN11, Rorotan, Cilincing, Kota Jakarta Utara, DKI Jakarta"
PR Aang Farhanudin,"JL. SINDANGWARGI, Sukamaju Kidul, Indihiang, Kota Tasikmalaya, Jawa Barat"
PR Aang Hartoko,"JL. JEND. A. YANI/DEPAN MASJID AGUNG, Lapadde, Ujung, Kota Pare-Pare, Sulawesi Selatan"
CV Aannajah Jaya,"Desa Bumirejo RT 01 RW 03, Bumirejo, Margorejo, Kabupaten Pati, Jawa Tengah"
PR Aaq Food,
PR Aara Kitchen,"Jl. Alam raya perumahan graha alam raya blok A no 15 rt.002 rw.007, Sialangsakti, Tenayan Raya, Kota Pekanbaru, Riau"
PT Aarti Jaya,"Jl. Inhoftank No.34, Pelindung Hewan, Astana Anyar, Kota Bandung, Jawa Barat"
PT Aarti Jaya Velvet Industri,"JL. RAYA LASWI NO 1D RT.001 RW.011, Biru, Majalaya, Kabupaten Bandung, Jawa Barat"
PR Aas Ayu Pitaloka,"BLOK SENEN RT/RW 001/003, Maja Selatan, Maja, Kabupaten Majalengka, Jawa Barat"
PR Aas Siti Asiah,
PR Aas Siti Asiah,
PT Aasiyah Albarokah Indonesia,"Jl. Pal Putih No 73, Kramat, Senen, Kota Jakarta Pusat, DKI Jakarta"
UD Ab Coffee,"DUSUN RI NABOLAK, Kilang Papan, Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara"
PT Aba Cnc Indonesia,"Sentra Industri Kecil dan Menengah (SIKM) Jl Lingkar utara, Cikasarung, Majalengka, Kabupaten Majalengka, Jawa Barat"
CV Ababil Group,
PT ABACUS KENCANA INDUSTRIES,"Jl Ramin V Blok G6A No. 1C Kawasan Industri Delta Silicon VI, Jayamukti, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat"
PR Abad,"Kelurahan wawotobi, Wawotobi, Wawotobi, Kabupaten Konawe, Sulawesi Tenggara"
CV Abad Jepara,"DESA BANJARAN RT.01 / RW.01, Banjaran, Bangsri, Kabupaten Jepara, Jawa Tengah"
CV Abadan Abada,"Link Kepandean Gg Saudara No 21 RT/RW 05/06 Kota Serang Banten, Kagungan, Serang, Kota Serang, Banten"
PT Abadan Ati Bungah,
PT Abadan Nusantara International,
PT Abadi,
CV Abadi,"Jalan Hibrida No. 51, Pagar Dewa, Selebar, Kota Bengkulu, Bengkulu"
PR Abadi,
PR Abadi,"PERUM AL-MINA BLOK F9, Kelurahan Sukarindik, Kec. Bungursari, Kota Tasikmalaya, Sukarindik, Bungursari, Kota Tasikmalaya, Jawa Barat"
PT Abadi Agrosindo Persada,"Jl. Raya Surabaya Mojokerto KM 39, Bakungtemenggungan, Balongbendo, Kabupaten Sidoarjo, Jawa Timur"
PT Abadi Aksara,"Jalan Dokter Krt. Radjiman Widyodiningrat No 23 A, Rawa Terate, Cakung, Kota Jakarta Timur, DKI Jakarta"
PT Abadi Banua Cemerlang,"Komplek Sentra Bumi Niaga Surya Grand Cisoka, Blok A1, No.6, Jl. Raya Cisoka, Cibugel, Cisoka, Kabupaten Tangerang, Banten"
PT Abadi Beton Perkasa,"Jl P Sumatera No 3, Kota Bangun, Medan Deli, Kabupaten Deli Serdang, Sumatera Utara"
PT Abadi Cahaya Nusantara Indonesia,"Jl. Raya Dayeuhkolot No.180, Citeureup, Dayeuhkolot, Kabupaten Bandung, Jawa Barat"
PT Abadi Coating Solusi,"JL. RAYA PASAR KEMIS KP. KERONCONG RT002/RW004, KERONCONG, JATIUWUNG, Kota Tangerang, Banten"
PT Abadi Dan Jaya Garmindo,"JL.P. SURYA NEGARA NO.63 RT.004/RW.001, PAMIJAHAN, PLUMBON, Kabupaten Cirebon, Jawa Barat"
CV Abadi Es Kristal,
PT Abadi Final Kreasi,"TCC Batavia Tower One, Lantai 29, Jl. K.H. Mas Mansyur Kav 126, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, DKI Jakarta"
PT Abadi Garmindo,"JL. LINGKAR UTARA NO.245 DESA WANAREJAN UTRA, DESA WANAREJAN UTARA, TAMAN, Kabupaten Pemalang, Jawa Tengah"
